claim_id,season,plan_name,event_type,plan_base_premium,plan_max_payout,gps_zone_match,claim_velocity_7d,historical_zone_presence,time_since_event_seconds,platform_activity_during_event,claimed_amount,claimed_amount_ratio,prior_rejections_90d,is_fraud
CLM_04193,monsoon,standard,Heavy Rain,79.0,2000.0,1,1,0.4895,37480,0.5167,1184.5,0.5923,0,0
CLM_02968,monsoon,standard,Heavy Rain,79.0,2000.0,1,1,0.446,15814,0.4809,1013.81,0.5069,0,0
CLM_04793,winter,basic,Heavy Rain,49.0,1000.0,1,6,0.1524,122,0.1372,902.0,0.902,1,1
CLM_04368,winter,standard,Heavy Rain,79.0,2000.0,1,0,0.789,3012,0.913,1153.44,0.5767,0,0
CLM_02776,monsoon,premium,Poor AQI,99.0,3500.0,1,0,0.4937,5505,0.4697,998.85,0.2854,1,0
CLM_02970,monsoon,premium,Heavy Rain,99.0,3500.0,1,0,0.8404,573,0.7343,1639.34,0.4684,0,0
CLM_03867,monsoon,standard,Platform Outage,79.0,2000.0,1,1,0.5333,3928,0.4464,747.62,0.3738,0,0
CLM_01743,monsoon,basic,Poor AQI,49.0,1000.0,1,0,0.7149,5302,0.7942,672.83,0.6728,1,0
CLM_03948,monsoon,basic,Poor AQI,49.0,1000.0,1,0,0.6542,3285,0.642,529.74,0.5297,0,0
CLM_03802,summer,nano,Platform Outage,25.0,500.0,1,1,0.8018,892,0.7336,111.12,0.2222,0,0
CLM_02024,monsoon,basic,Heavy Rain,49.0,1000.0,1,2,0.7588,6671,0.4958,546.15,0.5462,0,0
CLM_02274,festival,standard,Poor AQI,79.0,2000.0,1,0,0.8968,647,0.2402,815.21,0.4076,0,0
CLM_00099,monsoon,nano,Platform Outage,25.0,500.0,1,0,0.6606,19664,0.8355,297.61,0.5952,1,0
CLM_04921,monsoon,premium,Platform Outage,99.0,3500.0,0,7,0.3376,56,0.462,2726.16,0.7789,2,1
CLM_03407,summer,basic,Heatwave,49.0,1000.0,1,0,0.8519,2668,0.7589,541.42,0.5414,0,0
CLM_04245,monsoon,basic,Heavy Rain,49.0,1000.0,1,2,0.9029,9221,0.8719,283.45,0.2834,0,0
CLM_04619,winter,basic,Heavy Rain,49.0,1000.0,0,2,0.1666,168,0.3221,921.45,0.9214,3,1
CLM_04916,summer,premium,Platform Outage,99.0,3500.0,1,6,0.2722,137,0.4468,2853.97,0.8154,0,1
CLM_00191,festival,basic,Poor AQI,49.0,1000.0,1,1,0.6939,2138,0.4656,248.49,0.2485,0,0
CLM_04696,summer,standard,Heatwave,79.0,2000.0,0,7,0.0908,242,0.5989,1701.85,0.8509,3,1
CLM_01784,festival,standard,Platform Outage,79.0,2000.0,1,0,0.846,5791,0.6716,516.87,0.2584,0,0
CLM_01532,summer,basic,Platform Outage,49.0,1000.0,1,0,0.6605,21060,0.6115,455.44,0.4554,0,0
CLM_02834,monsoon,premium,Platform Outage,99.0,3500.0,1,0,0.7147,19275,0.4404,1772.82,0.5065,0,0
CLM_04444,monsoon,premium,Heavy Rain,99.0,3500.0,1,0,0.6517,13259,0.7731,933.61,0.2667,0,0
CLM_04915,summer,basic,Poor AQI,49.0,1000.0,0,2,0.2427,115,0.0099,991.02,0.991,4,1
CLM_01598,summer,standard,Heatwave,79.0,2000.0,1,0,0.8608,917,0.5481,663.82,0.3319,0,0
CLM_01779,festival,nano,Platform Outage,25.0,500.0,1,0,0.4456,12454,0.9049,315.8,0.6316,1,0
CLM_04900,winter,standard,Heatwave,79.0,2000.0,0,5,0.2853,20,0.0227,1872.86,0.9364,2,1
CLM_02574,winter,nano,Heavy Rain,25.0,500.0,1,0,0.7378,10995,0.3694,97.81,0.1956,0,0
CLM_03398,festival,standard,Poor AQI,79.0,2000.0,1,1,0.5829,2669,0.5326,1242.09,0.621,1,0
CLM_03975,festival,basic,Platform Outage,49.0,1000.0,1,0,0.6501,12293,0.8417,634.11,0.6341,2,0
CLM_03770,festival,nano,Platform Outage,25.0,500.0,1,0,0.9039,25729,0.864,236.84,0.4737,0,0
CLM_00166,festival,nano,Heavy Rain,25.0,500.0,1,0,0.9236,3518,0.8703,302.64,0.6053,0,0
CLM_01751,monsoon,nano,Heavy Rain,25.0,500.0,1,1,0.7428,7080,0.6361,115.63,0.2313,2,0
CLM_01479,festival,premium,Heavy Rain,99.0,3500.0,1,1,0.661,2235,0.724,2230.59,0.6373,0,0
CLM_01024,monsoon,basic,Poor AQI,49.0,1000.0,1,0,0.884,2950,0.9124,563.98,0.564,1,0
CLM_01788,monsoon,nano,Platform Outage,25.0,500.0,0,2,0.6878,633,0.6149,310.04,0.6201,0,0
CLM_02264,festival,premium,Platform Outage,99.0,3500.0,1,2,0.7044,4838,0.6792,1355.58,0.3873,0,0
CLM_02473,summer,basic,Heatwave,49.0,1000.0,1,2,0.6457,571,0.3444,346.71,0.3467,0,0
CLM_01822,monsoon,premium,Poor AQI,99.0,3500.0,1,1,0.5393,16601,0.51,856.59,0.2447,0,0
CLM_01220,summer,standard,Poor AQI,79.0,2000.0,1,0,0.9067,3837,0.8441,1228.64,0.6143,0,0
CLM_01666,monsoon,standard,Platform Outage,79.0,2000.0,1,0,0.861,3729,0.832,1205.67,0.6028,0,0
CLM_02960,festival,basic,Poor AQI,49.0,1000.0,1,0,0.7884,21469,0.6839,435.39,0.4354,0,0
CLM_00152,winter,standard,Poor AQI,79.0,2000.0,1,0,0.5873,12809,0.7237,826.48,0.4132,0,0
CLM_02534,monsoon,standard,Heavy Rain,79.0,2000.0,1,1,0.8659,8956,0.8764,596.28,0.2981,0,0
CLM_04688,monsoon,standard,Heavy Rain,79.0,2000.0,0,4,0.0212,70,0.035,1611.15,0.8056,2,1
CLM_01978,festival,nano,Platform Outage,25.0,500.0,1,1,0.6139,5955,0.6098,267.65,0.5353,0,0
CLM_01469,festival,nano,Platform Outage,25.0,500.0,1,0,0.5125,2571,0.6695,325.81,0.6516,0,0
CLM_02807,winter,nano,Heavy Rain,25.0,500.0,1,1,0.8926,27980,0.571,328.74,0.6575,0,0
CLM_02512,summer,nano,Platform Outage,25.0,500.0,1,1,0.7714,5063,0.6841,166.47,0.3329,0,0
CLM_02943,monsoon,standard,Heavy Rain,79.0,2000.0,1,0,0.5153,19221,0.3575,471.56,0.2358,0,0
CLM_02980,summer,standard,Platform Outage,79.0,2000.0,0,0,0.9487,1497,0.9839,360.81,0.1804,0,0
CLM_04822,summer,premium,Heatwave,99.0,3500.0,0,5,0.019,289,0.0793,2551.24,0.7289,3,1
CLM_03017,festival,basic,Platform Outage,49.0,1000.0,1,1,0.8164,6394,0.7934,578.75,0.5787,0,0
CLM_01566,monsoon,premium,Poor AQI,99.0,3500.0,1,0,0.9319,12741,0.3967,715.48,0.2044,0,0
CLM_00031,festival,nano,Platform Outage,25.0,500.0,1,3,0.542,14904,0.6872,165.32,0.3306,0,0
CLM_00937,winter,nano,Platform Outage,25.0,500.0,1,1,0.8326,3706,0.705,146.96,0.2939,0,0
CLM_01215,monsoon,nano,Heavy Rain,25.0,500.0,1,1,0.5545,804,0.9516,171.56,0.3431,0,0
CLM_01937,summer,premium,Heatwave,99.0,3500.0,0,2,0.5513,4456,0.5103,1736.74,0.4962,0,0
CLM_01129,monsoon,basic,Heavy Rain,49.0,1000.0,1,0,0.7048,40288,0.4439,338.6,0.3386,0,0
CLM_00309,festival,nano,Platform Outage,25.0,500.0,1,1,0.8126,2648,0.7944,331.59,0.6632,0,0
CLM_04901,festival,premium,Heavy Rain,99.0,3500.0,0,1,0.0857,27,0.4099,2550.22,0.7286,1,1
CLM_02168,monsoon,basic,Platform Outage,49.0,1000.0,1,0,0.9397,3933,0.8593,286.59,0.2866,0,0
CLM_03113,monsoon,nano,Heavy Rain,25.0,500.0,1,0,0.7982,8688,0.9488,320.9,0.6418,0,0
CLM_00495,winter,standard,Heavy Rain,79.0,2000.0,1,2,0.6769,480,0.7731,940.81,0.4704,0,0
CLM_00205,festival,premium,Poor AQI,99.0,3500.0,1,0,0.9367,5602,0.6504,756.88,0.2163,0,0
CLM_02673,monsoon,nano,Heavy Rain,25.0,500.0,1,0,0.5403,2194,0.7303,159.61,0.3192,0,0
CLM_03357,monsoon,nano,Platform Outage,25.0,500.0,1,0,0.8364,2540,0.948,216.93,0.4339,0,0
CLM_03830,monsoon,basic,Poor AQI,49.0,1000.0,1,0,0.8069,4940,0.8053,301.0,0.301,0,0
CLM_00305,monsoon,basic,Heavy Rain,49.0,1000.0,1,3,0.6156,8419,0.8502,546.12,0.5461,0,0
CLM_03793,festival,basic,Platform Outage,49.0,1000.0,1,0,0.3156,13870,0.5236,452.98,0.453,0,0
CLM_02201,monsoon,basic,Heavy Rain,49.0,1000.0,1,0,0.9924,480,0.7777,210.8,0.2108,0,0
CLM_01061,monsoon,standard,Heavy Rain,79.0,2000.0,1,1,0.8047,3398,0.712,629.28,0.3146,0,0
CLM_00843,monsoon,premium,Poor AQI,99.0,3500.0,1,0,0.9715,8546,0.6137,2305.15,0.6586,0,0
CLM_03872,summer,standard,Heatwave,79.0,2000.0,1,1,0.616,2383,0.6731,963.51,0.4818,0,0
CLM_02251,summer,basic,Platform Outage,49.0,1000.0,1,1,0.7855,3962,0.628,671.85,0.6719,0,0
CLM_00211,festival,standard,Heavy Rain,79.0,2000.0,1,0,0.7676,3458,0.9849,910.65,0.4553,0,0
CLM_03997,summer,basic,Heatwave,49.0,1000.0,1,0,0.7779,6392,0.7052,239.95,0.2399,0,0
CLM_00679,summer,basic,Poor AQI,49.0,1000.0,1,0,0.7698,49496,0.8089,296.22,0.2962,1,0
CLM_00565,summer,basic,Platform Outage,49.0,1000.0,1,1,0.8235,15930,0.8005,395.57,0.3956,0,0
CLM_03290,winter,basic,Heatwave,49.0,1000.0,1,0,0.7966,2709,0.9841,416.45,0.4164,0,0
CLM_04354,summer,basic,Heatwave,49.0,1000.0,1,1,0.62,7304,0.8244,210.73,0.2107,0,0
CLM_00680,festival,nano,Heavy Rain,25.0,500.0,1,0,0.7821,4770,0.6668,252.47,0.5049,1,0
CLM_00180,monsoon,standard,Heavy Rain,79.0,2000.0,1,0,0.7182,17758,0.6795,1070.45,0.5352,1,0
CLM_04279,festival,nano,Heavy Rain,25.0,500.0,1,0,0.7974,6380,0.537,319.54,0.6391,0,0
CLM_02495,monsoon,standard,Heavy Rain,79.0,2000.0,1,1,0.6897,5108,0.5955,1137.91,0.569,0,0
CLM_02316,summer,standard,Heatwave,79.0,2000.0,1,1,0.5881,902,0.8569,1144.09,0.572,0,0
CLM_04273,winter,standard,Platform Outage,79.0,2000.0,1,0,0.6569,1479,0.4742,1251.27,0.6256,0,0
CLM_00278,summer,standard,Heatwave,79.0,2000.0,1,1,0.7651,1021,0.8357,1175.69,0.5878,1,0
CLM_03683,summer,basic,Poor AQI,49.0,1000.0,1,1,0.84,979,0.7933,263.2,0.2632,0,0
CLM_04762,winter,premium,Poor AQI,99.0,3500.0,0,6,0.0516,134,0.0254,2783.15,0.7952,1,1
CLM_00432,summer,standard,Poor AQI,79.0,2000.0,1,1,0.8017,2082,0.5786,945.01,0.4725,0,0
CLM_00289,festival,standard,Poor AQI,79.0,2000.0,1,1,0.9505,21884,0.2896,1046.5,0.5232,0,0
CLM_01027,monsoon,standard,Poor AQI,79.0,2000.0,1,1,0.8919,10920,0.74,989.48,0.4947,0,0
CLM_00535,summer,nano,Platform Outage,25.0,500.0,1,0,0.7074,10233,0.5585,138.8,0.2776,0,0
CLM_03631,festival,standard,Heavy Rain,79.0,2000.0,1,2,0.892,8880,0.582,772.18,0.3861,0,0
CLM_00188,monsoon,nano,Heavy Rain,25.0,500.0,1,0,0.5222,12393,0.4115,154.13,0.3083,0,0
CLM_02174,winter,standard,Platform Outage,79.0,2000.0,1,1,0.9262,9396,0.6337,641.67,0.3208,0,0
CLM_03915,summer,standard,Heatwave,79.0,2000.0,1,0,0.8451,5072,0.8792,1101.82,0.5509,0,0
CLM_01862,festival,standard,Platform Outage,79.0,2000.0,1,2,0.7911,43799,0.524,1121.9,0.561,0,0
CLM_00270,festival,basic,Platform Outage,49.0,1000.0,1,0,0.8577,1330,0.8814,530.92,0.5309,0,0
CLM_01728,festival,nano,Heavy Rain,25.0,500.0,1,1,0.7446,7212,0.2516,291.79,0.5836,0,0
CLM_04075,winter,basic,Platform Outage,49.0,1000.0,1,2,0.5162,18759,0.7935,278.61,0.2786,0,0
CLM_02157,festival,standard,Platform Outage,79.0,2000.0,1,1,0.5707,480,0.7735,1051.22,0.5256,0,0
CLM_03931,monsoon,nano,Platform Outage,25.0,500.0,1,1,0.6947,5328,0.6555,169.0,0.338,0,0
CLM_00111,monsoon,standard,Poor AQI,79.0,2000.0,1,0,0.7434,1266,0.5027,1208.49,0.6042,0,0
CLM_02384,monsoon,basic,Heavy Rain,49.0,1000.0,1,0,0.9101,3196,0.4606,220.36,0.2204,1,0
CLM_00220,winter,premium,Heavy Rain,99.0,3500.0,1,2,0.7626,11152,0.8047,848.4,0.2424,0,0
CLM_00627,festival,basic,Poor AQI,49.0,1000.0,1,1,0.8432,10418,0.5421,310.47,0.3105,0,0
CLM_01181,festival,nano,Heavy Rain,25.0,500.0,1,1,0.7239,786,0.5804,129.45,0.2589,0,0
CLM_03381,monsoon,premium,Heavy Rain,99.0,3500.0,1,0,0.8719,1400,0.7577,818.22,0.2338,0,0
CLM_02422,festival,nano,Platform Outage,25.0,500.0,1,0,0.8342,3979,0.9696,231.29,0.4626,1,0
CLM_00790,summer,nano,Platform Outage,25.0,500.0,1,0,0.7741,12465,0.8634,327.67,0.6553,0,0
CLM_04275,monsoon,nano,Heavy Rain,25.0,500.0,1,0,0.5977,9512,0.7996,129.36,0.2587,0,0
CLM_00461,winter,standard,Platform Outage,79.0,2000.0,1,3,0.7376,8389,0.2363,1208.23,0.6041,1,0
CLM_04402,festival,standard,Heavy Rain,79.0,2000.0,1,0,0.7183,5519,0.4693,1257.01,0.6285,1,0
CLM_00551,festival,standard,Poor AQI,79.0,2000.0,1,1,0.7254,3948,0.8431,490.61,0.2453,1,0
CLM_03129,festival,basic,Platform Outage,49.0,1000.0,1,1,0.4481,9149,0.9052,618.06,0.6181,0,0
CLM_01444,summer,nano,Heavy Rain,25.0,500.0,1,0,0.701,3094,0.6663,228.62,0.4572,0,0
CLM_00198,festival,premium,Platform Outage,99.0,3500.0,1,1,0.7961,8470,0.9961,729.45,0.2084,0,0
CLM_02589,winter,basic,Platform Outage,49.0,1000.0,1,1,0.7374,9529,0.6653,651.9,0.6519,0,0
CLM_00402,winter,nano,Platform Outage,25.0,500.0,1,1,0.6226,1033,0.8145,302.96,0.6059,0,0
CLM_03959,summer,nano,Heavy Rain,25.0,500.0,1,1,0.3878,1684,0.7522,197.65,0.3953,0,0
CLM_04189,winter,premium,Heatwave,99.0,3500.0,1,1,0.3654,6000,0.9343,2068.99,0.5911,0,0
CLM_04763,summer,basic,Heatwave,49.0,1000.0,0,5,0.1317,254,0.0184,860.26,0.8603,2,1
CLM_02095,monsoon,premium,Poor AQI,99.0,3500.0,1,0,0.8448,2591,0.3878,1758.71,0.5025,0,0
CLM_02900,monsoon,standard,Heavy Rain,79.0,2000.0,1,1,0.7481,480,0.6679,555.13,0.2776,0,0
CLM_04462,winter,basic,Heatwave,49.0,1000.0,0,0,0.9255,12309,0.6758,192.63,0.1926,0,0
CLM_00650,monsoon,nano,Heavy Rain,25.0,500.0,1,0,0.8741,25146,0.1848,196.75,0.3935,0,0
CLM_00708,festival,standard,Platform Outage,79.0,2000.0,1,1,0.786,1768,0.7989,437.21,0.2186,1,0
CLM_01480,summer,premium,Heatwave,99.0,3500.0,1,0,0.935,6602,0.7453,1500.84,0.4288,0,0
CLM_04414,summer,standard,Poor AQI,79.0,2000.0,1,0,0.8667,1065,0.8275,428.22,0.2141,0,0
CLM_03065,monsoon,nano,Heavy Rain,25.0,500.0,1,0,0.6542,2451,0.3847,328.54,0.6571,1,0
CLM_02395,monsoon,nano,Heavy Rain,25.0,500.0,1,1,0.6132,480,0.545,233.82,0.4676,0,0
CLM_01769,festival,basic,Platform Outage,49.0,1000.0,1,0,0.5455,1586,0.9302,498.22,0.4982,0,0
CLM_00314,monsoon,basic,Heavy Rain,49.0,1000.0,1,3,0.8601,6742,0.6786,308.05,0.308,0,0
CLM_03761,monsoon,nano,Heavy Rain,25.0,500.0,1,0,0.7346,3029,0.7339,273.76,0.5475,0,0
CLM_04909,monsoon,premium,Heavy Rain,99.0,3500.0,0,5,0.2858,20,0.5039,3242.54,0.9264,3,1
CLM_00113,winter,premium,Heavy Rain,99.0,3500.0,1,0,0.822,2358,0.7145,1098.53,0.3139,1,0
CLM_00960,winter,standard,Heatwave,79.0,2000.0,1,1,0.7927,13152,0.5306,715.33,0.3577,0,0
CLM_02910,monsoon,basic,Platform Outage,49.0,1000.0,1,0,0.7754,1168,0.3432,562.31,0.5623,0,0
CLM_03405,monsoon,standard,Poor AQI,79.0,2000.0,0,0,0.5983,3143,0.7323,1218.04,0.609,0,0
CLM_01623,monsoon,basic,Heavy Rain,49.0,1000.0,1,0,0.8282,7251,0.7569,448.45,0.4485,0,0
CLM_03322,winter,nano,Platform Outage,25.0,500.0,1,3,0.9069,3186,0.5316,305.95,0.6119,1,0
CLM_04999,winter,premium,Platform Outage,99.0,3500.0,1,6,0.2927,185,0.0238,2639.21,0.7541,3,1
CLM_01818,festival,standard,Heavy Rain,79.0,2000.0,1,2,0.9018,24154,0.479,488.91,0.2445,0,0
CLM_03194,festival,basic,Heavy Rain,49.0,1000.0,1,0,0.8202,4250,0.3628,457.11,0.4571,1,0
CLM_03007,monsoon,premium,Platform Outage,99.0,3500.0,1,0,0.9265,23003,0.7523,698.81,0.1997,0,0
CLM_03414,festival,nano,Heavy Rain,25.0,500.0,1,1,0.4886,970,0.9682,242.37,0.4847,0,0
CLM_04528,monsoon,standard,Platform Outage,79.0,2000.0,0,7,0.2577,148,0.0019,1961.09,0.9805,3,1
CLM_01897,summer,nano,Heavy Rain,25.0,500.0,1,0,0.504,480,0.5841,313.88,0.6278,1,0
CLM_01918,summer,premium,Poor AQI,99.0,3500.0,1,0,0.6559,11698,0.5885,965.66,0.2759,2,0
CLM_01270,winter,standard,Heatwave,79.0,2000.0,1,3,0.7259,4753,0.881,1097.81,0.5489,0,0
CLM_04176,monsoon,standard,Heavy Rain,79.0,2000.0,1,0,0.9885,8361,0.8723,1280.6,0.6403,1,0
CLM_04962,monsoon,premium,Heavy Rain,99.0,3500.0,0,8,0.1794,203,0.002,2985.7,0.8531,2,1
CLM_04883,monsoon,premium,Poor AQI,99.0,3500.0,0,4,0.0581,121,0.3148,3213.55,0.9182,2,1
CLM_04094,monsoon,basic,Heavy Rain,49.0,1000.0,1,1,0.5547,2434,0.6495,509.41,0.5094,0,0
CLM_03159,summer,basic,Heatwave,49.0,1000.0,1,1,0.7922,6517,0.8845,280.65,0.2806,0,0
CLM_01813,monsoon,standard,Platform Outage,79.0,2000.0,1,2,0.7481,13013,0.5492,516.74,0.2584,0,0
CLM_02426,winter,nano,Platform Outage,25.0,500.0,1,1,0.8445,42236,0.7224,308.94,0.6179,1,0
CLM_03950,monsoon,standard,Heavy Rain,79.0,2000.0,1,0,0.8999,16359,0.8779,843.38,0.4217,0,0
CLM_04428,festival,standard,Heavy Rain,79.0,2000.0,1,0,0.8078,16959,0.9149,903.02,0.4515,0,0
CLM_02142,monsoon,standard,Heavy Rain,79.0,2000.0,1,0,0.6273,6898,0.74,893.05,0.4465,0,0
CLM_01626,winter,standard,Heatwave,79.0,2000.0,1,2,0.3586,480,0.9197,1239.83,0.6199,0,0
CLM_00789,festival,standard,Heavy Rain,79.0,2000.0,1,0,0.7695,11796,0.5176,885.61,0.4428,0,0
CLM_03786,monsoon,basic,Heavy Rain,49.0,1000.0,1,0,0.7918,3373,0.9524,497.11,0.4971,0,0
CLM_01864,festival,nano,Platform Outage,25.0,500.0,1,0,0.6663,16212,0.8126,108.99,0.218,0,0
CLM_02865,festival,premium,Platform Outage,99.0,3500.0,1,0,0.846,668,0.8065,919.13,0.2626,0,0
CLM_00871,festival,standard,Platform Outage,79.0,2000.0,0,1,0.6437,6252,0.799,921.62,0.4608,0,0
CLM_03271,monsoon,basic,Poor AQI,49.0,1000.0,1,1,0.9524,3207,0.9139,207.95,0.2079,0,0
CLM_03833,summer,premium,Poor AQI,99.0,3500.0,1,0,0.6957,8936,0.7073,1576.41,0.4504,0,0
CLM_00073,monsoon,standard,Poor AQI,79.0,2000.0,1,2,0.895,9965,0.2512,1175.02,0.5875,0,0
CLM_01752,monsoon,standard,Poor AQI,79.0,2000.0,1,0,0.7623,6546,0.3324,527.46,0.2637,0,0
CLM_01421,winter,basic,Poor AQI,49.0,1000.0,1,3,0.6624,8835,0.6175,194.04,0.194,0,0
CLM_04221,festival,standard,Poor AQI,79.0,2000.0,1,0,0.771,18925,0.6247,936.39,0.4682,0,0
CLM_04693,monsoon,standard,Poor AQI,79.0,2000.0,0,5,0.1901,34,0.0734,1765.89,0.8829,2,1
CLM_04369,winter,basic,Poor AQI,49.0,1000.0,1,2,0.9551,2478,0.7267,260.67,0.2607,0,0
CLM_04575,monsoon,premium,Poor AQI,99.0,3500.0,0,3,0.1618,473,0.6254,3058.65,0.8739,4,1
CLM_03809,summer,premium,Heatwave,99.0,3500.0,1,1,0.9446,3484,0.8046,978.01,0.2794,0,0
CLM_02244,festival,nano,Heavy Rain,25.0,500.0,1,0,0.4976,26693,0.7898,92.95,0.1859,0,0
CLM_03047,summer,nano,Heavy Rain,25.0,500.0,1,0,0.7814,1899,0.7841,201.67,0.4033,0,0
CLM_02445,winter,premium,Platform Outage,99.0,3500.0,1,1,0.8278,4068,0.8469,1000.81,0.2859,0,0
CLM_00494,monsoon,basic,Heavy Rain,49.0,1000.0,1,3,0.4884,3700,0.9512,458.1,0.4581,0,0
CLM_03130,festival,premium,Platform Outage,99.0,3500.0,1,0,0.7613,3732,0.8914,2262.5,0.6464,0,0
CLM_04321,summer,nano,Platform Outage,25.0,500.0,1,0,0.4613,4038,0.3504,162.56,0.3251,0,0
CLM_04397,festival,standard,Poor AQI,79.0,2000.0,1,2,0.5116,9869,0.7698,474.26,0.2371,0,0
CLM_01164,winter,nano,Heavy Rain,25.0,500.0,1,1,0.6134,4196,0.3706,277.03,0.5541,1,0
CLM_03734,monsoon,standard,Heavy Rain,79.0,2000.0,0,0,0.7125,480,0.8905,542.86,0.2714,0,0
CLM_01730,winter,standard,Heatwave,79.0,2000.0,1,1,0.6583,3137,0.5261,532.6,0.2663,0,0
CLM_04812,festival,standard,Platform Outage,79.0,2000.0,0,3,0.0583,143,0.4083,1911.82,0.9559,2,1
CLM_02402,monsoon,standard,Heavy Rain,79.0,2000.0,1,0,0.5178,2246,0.5247,953.15,0.4766,1,0
CLM_03403,winter,nano,Heavy Rain,25.0,500.0,1,0,0.8543,5274,0.8948,230.83,0.4617,0,0
CLM_00618,festival,standard,Platform Outage,79.0,2000.0,1,0,0.7646,2239,0.7859,1205.2,0.6026,0,0
CLM_01697,summer,standard,Heatwave,79.0,2000.0,1,1,0.6356,20415,0.914,1158.93,0.5795,0,0
CLM_03593,summer,basic,Poor AQI,49.0,1000.0,1,1,0.5951,2211,0.9051,638.81,0.6388,0,0
CLM_01957,winter,basic,Heavy Rain,49.0,1000.0,1,2,0.9463,7836,0.5184,644.05,0.644,1,0
CLM_01221,winter,basic,Platform Outage,49.0,1000.0,1,0,0.72,2264,0.9349,225.06,0.2251,0,0
CLM_02073,monsoon,basic,Poor AQI,49.0,1000.0,1,1,0.7454,4490,0.8945,465.78,0.4658,0,0
CLM_03410,monsoon,basic,Heavy Rain,49.0,1000.0,1,1,0.8911,1678,0.3992,332.89,0.3329,1,0
CLM_00869,summer,premium,Platform Outage,99.0,3500.0,1,1,0.8331,4221,0.7408,1494.97,0.4271,0,0
CLM_02718,monsoon,basic,Platform Outage,49.0,1000.0,1,3,0.473,1991,0.6263,643.86,0.6439,0,0
CLM_01042,monsoon,standard,Poor AQI,79.0,2000.0,1,1,0.9113,597,0.7718,392.06,0.196,0,0
CLM_01361,monsoon,nano,Platform Outage,25.0,500.0,1,1,0.8762,3703,0.987,105.9,0.2118,1,0
CLM_00356,festival,basic,Platform Outage,49.0,1000.0,1,1,0.3867,12313,0.8074,222.49,0.2225,0,0
CLM_01162,monsoon,basic,Heavy Rain,49.0,1000.0,1,1,0.6981,2866,0.8491,518.04,0.518,0,0
CLM_02765,summer,standard,Poor AQI,79.0,2000.0,1,1,0.4356,16808,0.9429,573.54,0.2868,0,0
CLM_03252,monsoon,basic,Heavy Rain,49.0,1000.0,1,2,0.7725,3974,0.6097,678.7,0.6787,0,0
CLM_01438,festival,nano,Platform Outage,25.0,500.0,1,3,0.7658,7661,0.7584,317.2,0.6344,0,0
CLM_03603,summer,standard,Heatwave,79.0,2000.0,1,0,0.9659,614,0.4955,1022.29,0.5111,0,0
CLM_04940,monsoon,standard,Heavy Rain,79.0,2000.0,0,1,0.3353,134,0.0915,1583.65,0.7918,2,1
CLM_04593,winter,basic,Platform Outage,49.0,1000.0,0,3,0.1167,368,0.0602,829.45,0.8295,1,1
CLM_03639,winter,nano,Platform Outage,25.0,500.0,1,2,0.6966,7286,0.6073,135.39,0.2708,1,0
CLM_01253,summer,basic,Platform Outage,49.0,1000.0,0,2,0.8579,1587,0.38,477.97,0.478,2,0
CLM_03365,monsoon,nano,Platform Outage,25.0,500.0,1,0,0.5297,848,0.795,293.55,0.5871,0,0
CLM_00332,winter,basic,Platform Outage,49.0,1000.0,1,3,0.8537,6367,0.3231,548.5,0.5485,0,0
CLM_03694,monsoon,basic,Platform Outage,49.0,1000.0,1,1,0.9473,857,0.8732,299.25,0.2993,0,0
CLM_03568,festival,standard,Platform Outage,79.0,2000.0,1,1,0.6841,480,0.6405,917.9,0.4589,0,0
CLM_02728,monsoon,basic,Platform Outage,49.0,1000.0,1,0,0.7871,480,0.6758,389.36,0.3894,0,0
CLM_03667,summer,premium,Heatwave,99.0,3500.0,1,0,0.9274,16428,0.8683,1717.17,0.4906,0,0
CLM_01630,festival,basic,Platform Outage,49.0,1000.0,1,0,0.7859,2003,0.5856,534.28,0.5343,0,0
CLM_01116,monsoon,nano,Platform Outage,25.0,500.0,1,0,0.5864,1976,0.547,93.68,0.1874,1,0
CLM_01849,festival,premium,Poor AQI,99.0,3500.0,1,1,0.6028,2203,0.6844,1320.95,0.3774,0,0
CLM_03554,monsoon,standard,Heavy Rain,79.0,2000.0,1,0,0.8406,7554,0.6984,1176.19,0.5881,0,0
CLM_03153,monsoon,basic,Platform Outage,49.0,1000.0,1,0,0.5271,1398,0.5513,209.21,0.2092,0,0
CLM_03265,monsoon,basic,Heavy Rain,49.0,1000.0,1,2,0.7666,11436,0.9016,208.43,0.2084,0,0
CLM_01665,monsoon,basic,Platform Outage,49.0,1000.0,1,0,0.6196,3723,0.7741,676.37,0.6764,0,0
CLM_00445,monsoon,standard,Heavy Rain,79.0,2000.0,0,0,0.787,18761,0.7632,973.15,0.4866,0,0
CLM_02245,winter,nano,Platform Outage,25.0,500.0,1,0,0.5423,10750,0.7721,137.44,0.2749,0,0
CLM_00452,festival,basic,Platform Outage,49.0,1000.0,1,0,0.311,2010,0.7284,180.8,0.1808,0,0
CLM_01551,summer,nano,Heavy Rain,25.0,500.0,1,1,0.8621,1226,0.3367,206.02,0.412,0,0
CLM_04434,summer,basic,Poor AQI,49.0,1000.0,1,0,0.7541,1430,0.528,569.39,0.5694,0,0
CLM_02954,summer,basic,Heatwave,49.0,1000.0,1,0,0.6327,12655,0.472,334.08,0.3341,0,0
CLM_00014,winter,basic,Heavy Rain,49.0,1000.0,1,2,0.9164,1847,0.6017,314.54,0.3145,0,0
